Name;Categories;Price tax excluded;Tax rules ID;Quantity;Description;Short description;Image URLs;Active
Urban Knit Classics Leeni Hoimela;Włóczki;159.00;1;10;Opis produktu Urban Knit Classics Leeni Hoimela.;Krótki opis Urban Knit Classics Leeni Hoimela.;https://miedzydrutami.pl/wp-content/uploads/2024/12/UrbanKnitClassics-Cozy-Publishing.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/UrbanKnitClassics-Cozy-Publishing-1.webp;1
Pasek Hudson XL Muud;Muud;69.00;1;10;Opis produktu Pasek Hudson XL Muud.;Krótki opis Pasek Hudson XL Muud.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Muud-Hudson-XL.webp;1
Mouche and Friends: Seamless Toys to Knit and Love;Włóczki;139.00;1;10;Opis produktu Mouche and Friends: Seamless Toys to Knit and Love.;Krótki opis Mouche and Friends: Seamless Toys to Knit and Love.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Laine-Publishing-Mouche-and-friends.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/tino_mouche_and_friends-laine-publishing.webp;1
52 Weeks of Accessories Laine Publishing;Włóczki;189.00;1;10;Opis produktu 52 Weeks of Accessories Laine Publishing.;Krótki opis 52 Weeks of Accessories Laine Publishing.;https://miedzydrutami.pl/wp-content/uploads/2024/12/52WeeksOfAccessories-laine-publishing.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/Wiklina-52weeksofaccessories-laine-publishing.webp;1
Memory Lane: Embellished Knits to Cherish;Włóczki;139.00;1;10;Opis produktu Memory Lane: Embellished Knits to Cherish.;Krótki opis Memory Lane: Embellished Knits to Cherish.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Memory-Lane-Embellished-Knits.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/Memory-Lane-Embellished-Knits-3.webp;1
Kalendarz dziewiarski Knitter’s Year 2025;Włóczki;119.00;1;10;Opis produktu Kalendarz dziewiarski Knitter’s Year 2025.;Krótki opis Kalendarz dziewiarski Knitter’s Year 2025.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Laine-KnittersYear2025-laine-publishing-1.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/Laine-KnittersYear2025-laine-publishing.webp;1
Torba Saturn Muud edycja limitowana;ITO;590.00;1;10;Opis produktu Torba Saturn Muud edycja limitowana.;Krótki opis Torba Saturn Muud edycja limitowana.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Muud-Saturn-Limited-Edition-Whisky-1.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/Muud-Saturn-Limited-Edition-Rich-Brown-1.webp;1
PetiteKnit kosmetyczka z akcesoriami Night Sky;Akcesoria;219.00;1;10;Opis produktu PetiteKnit kosmetyczka z akcesoriami Night Sky.;Krótki opis PetiteKnit kosmetyczka z akcesoriami Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Knitters-Tool-Case-Night-Sky.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Knitters-Tool-Case-Night-Sky-1.webp;1
PetiteKnit Tote Bag Night Sky;PetiteKnit;109.00;1;10;Opis produktu PetiteKnit Tote Bag Night Sky.;Krótki opis PetiteKnit Tote Bag Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Tote-Bag-torba-dla-dziewiarek-night-sky.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-Tote-Bag-torba-dla-dziewiarek.webp;1
PetiteKnit torba projektowa Night Sky;PetiteKnit;259.00;1;10;Opis produktu PetiteKnit torba projektowa Night Sky.;Krótki opis PetiteKnit torba projektowa Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-mala-torba-projektowa.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-mala-torba-projektowa-1.webp;1
PetiteKnit etui na druty i akcesoria Night Sky;Druty;189.00;1;10;Opis produktu PetiteKnit etui na druty i akcesoria Night Sky.;Krótki opis PetiteKnit etui na druty i akcesoria Night Sky.;https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-etui-na-druty-i-akcesoria-2.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/12/PetiteKnit-etui-na-druty-i-akcesoria-1.jpg;1
On-Line błyszcząca włóczka z cekinami Linie 344 Starlight;On-Line;24.00;1;10;Opis produktu On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;Krótki opis On-Line błyszcząca włóczka z cekinami Linie 344 Starlight.;https://miedzydrutami.pl/wp-content/uploads/2024/12/On-Line-Linie344-zloty.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/12/On-Line-Linie344-srebrny.jpg;1
Woolly Hugs Glitter;Włóczki;19.90;1;10;Opis produktu Woolly Hugs Glitter.;Krótki opis Woolly Hugs Glitter.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Woolly-Hugs-Glitter-zloty.png,https://miedzydrutami.pl/wp-content/uploads/2024/12/Woolly-Hugs-Glitter-silver.png;1
Gleener Ultimate golarka do dzianin;Gleener;109.00;1;10;Opis produktu Gleener Ultimate golarka do dzianin.;Krótki opis Gleener Ultimate golarka do dzianin.;https://miedzydrutami.pl/wp-content/uploads/2024/12/Gleener-golarka-do-dzianin-bez-baterii.webp,https://miedzydrutami.pl/wp-content/uploads/2024/12/Gleener-golarka-do-dzianin-bez-baterii-1.webp;1
Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg;Włóczki;189.00;1;10;Opis produktu Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;Krótki opis Knits To Wear: Effortless Patterns KutovaKika Veronika Lindberg.;https://miedzydrutami.pl/wp-content/uploads/2024/11/KutovaKika-KnitstoWear_eng.webp,https://miedzydrutami.pl/wp-content/uploads/2024/11/KutovaKika-KnitstoWear_eng-2.webp;1
Knit This KutovaKika Veronika Lindberg;Włóczki;159.00;1;10;Opis produktu Knit This KutovaKika Veronika Lindberg.;Krótki opis Knit This KutovaKika Veronika Lindberg.;https://miedzydrutami.pl/wp-content/uploads/2023/11/ksiazka-knit-this.webp,https://miedzydrutami.pl/wp-content/uploads/2023/11/ksiazka-knit-this-1.webp;1
Knitting Life 3 Isager;Isager;199.00;1;10;Opis produktu Knitting Life 3 Isager.;Krótki opis Knitting Life 3 Isager.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Knitting-Life.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/11/Knitting-Life.jpg;1
Peer Winter Sweater zestaw wzór z włóczką;Włóczki;278.90;1;10;Opis produktu Peer Winter Sweater zestaw wzór z włóczką.;Krótki opis Peer Winter Sweater zestaw wzór z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Peer-winter-splotka.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/11/Spoltka-Peer-Winter-Sweater-1.jpg;1
Tibetan Pascuali;Pascuali;82.00;1;10;Opis produktu Tibetan Pascuali.;Krótki opis Tibetan Pascuali.;https://miedzydrutami.pl/wp-content/uploads/2024/05/Pascuali-Tibetan-101.jpg,https://miedzydrutami.pl/wp-content/uploads/2024/05/Pascuali-Tibetan-101.jpg;1
Milano Sweater wzór na druty z włóczką;Druty;234.00;1;10;Opis produktu Milano Sweater wzór na druty z włóczką.;Krótki opis Milano Sweater wzór na druty z włóczką.;https://miedzydrutami.pl/wp-content/uploads/2024/11/Pascuali-Milano-Sweater-Sayama-1.webp,https://miedzydrutami.pl/wp-content/uploads/2024/11/Pascuali-Milano-Sweater-Sayama-222.webp;1
